Year4,Year4ET,Year3,Year3ET,Year2,Year2ET,Year1,Year1ET,Average
2018-01-01,0.06,2019-01-01,0.09,2020-01-01,0.05,2021-01-01,0.03,0.0575
2018-01-02,0.03,2019-01-02,0.05,2020-01-02,0.06,2021-01-02,0,0.035
2018-01-03,0.03,2019-01-03,0.04,2020-01-03,0.05,2021-01-03,0,0.03
2018-01-04,0,2019-01-04,0.05,2020-01-04,0.05,2021-01-04,0.02,0.03
2018-01-05,0.01,2019-01-05,0,2020-01-05,0.05,2021-01-05,0.06,0.03
2018-01-06,0.04,2019-01-06,0,2020-01-06,0.08,2021-01-06,0.01,0.0325
2018-01-07,0.03,2019-01-07,0,2020-01-07,0.04,2021-01-07,0.02,0.0225
2018-01-08,0,2019-01-08,0,2020-01-08,0.04,2021-01-08,0.04,0.02
2018-01-09,0.02,2019-01-09,0.03,2020-01-09,0.04,2021-01-09,0.07,0.04
2018-01-10,0.01,2019-01-10,0.03,2020-01-10,0.05,2021-01-10,0.04,0.0325
2018-01-11,0.01,2019-01-11,0.01,2020-01-11,0.04,2021-01-11,0.04,0.025
2018-01-12,0.06,2019-01-12,0.05,2020-01-12,0.05,2021-01-12,0.01,0.0425
2018-01-13,0.04,2019-01-13,0.06,2020-01-13,0.04,2021-01-13,0.03,0.0425
2018-01-14,0.03,2019-01-14,0.04,2020-01-14,0.07,2021-01-14,0.07,0.0525
2018-01-15,0.02,2019-01-15,0,2020-01-15,0.05,2021-01-15,0.04,0.0275
2018-01-16,0.03,2019-01-16,0,2020-01-16,0.03,2021-01-16,0.12,0.045
2018-01-17,0.04,2019-01-17,0.04,2020-01-17,0.02,2021-01-17,0.13,0.0575
2018-01-18,0,2019-01-18,0.01,2020-01-18,0.05,2021-01-18,0.24,0.075
2018-01-19,0.05,2019-01-19,0,2020-01-19,0.03,2021-01-19,0.17,0.0625
2018-01-20,0.07,2019-01-20,0.02,2020-01-20,0.02,2021-01-20,0.1,0.0525
2018-01-21,0.02,2019-01-21,0.06,2020-01-21,0.01,2021-01-21,0.05,0.035
2018-01-22,0.01,2019-01-22,0.09,2020-01-22,0.03,2021-01-22,0.02,0.0375
2018-01-23,0.05,2019-01-23,0.06,2020-01-23,0.01,2021-01-23,0.09,0.0525
2018-01-24,0,2019-01-24,0.1,2020-01-24,0.01,2021-01-24,0.02,0.0325
2018-01-25,0.02,2019-01-25,0.09,2020-01-25,0.02,2021-01-25,0.09,0.055
2018-01-26,0.03,2019-01-26,0.08,2020-01-26,0.05,2021-01-26,0.03,0.0475
2018-01-27,0.04,2019-01-27,0.09,2020-01-27,0.05,2021-01-27,0.03,0.0525
2018-01-28,0.07,2019-01-28,0.02,2020-01-28,0.05,2021-01-28,0.01,0.0375
2018-01-29,0.03,2019-01-29,0.06,2020-01-29,0.07,2021-01-29,0.02,0.045
2018-01-30,0.06,2019-01-30,0.06,2020-01-30,0.07,2021-01-30,0.04,0.0575
2018-01-31,0.06,2019-01-31,0.08,2020-01-31,0.07,2021-01-31,0.02,0.0575
2018-02-01,0.08,2019-02-01,0.02,2020-02-01,0.05,2021-02-01,0.04,0.0475
2018-02-02,0.13,2019-02-02,0.03,2020-02-02,0.12,2021-02-02,0.05,0.0825
2018-02-03,0.15,2019-02-03,0.02,2020-02-03,0.11,2021-02-03,0.04,0.08
2018-02-04,0.1,2019-02-04,0.05,2020-02-04,0.11,2021-02-04,0.11,0.0925
2018-02-05,0.13,2019-02-05,0.06,2020-02-05,0.05,2021-02-05,0.07,0.0775
2018-02-06,0.14,2019-02-06,0.05,2020-02-06,0.07,2021-02-06,0.08,0.085
2018-02-07,0.11,2019-02-07,0.04,2020-02-07,0.07,2021-02-07,0.08,0.075
2018-02-08,0.08,2019-02-08,0.03,2020-02-08,0.14,2021-02-08,0.05,0.075
2018-02-09,0.08,2019-02-09,0.05,2020-02-09,0.17,2021-02-09,0.06,0.09
2018-02-10,0.15,2019-02-10,0.05,2020-02-10,0.15,2021-02-10,0.08,0.1075
2018-02-11,0.07,2019-02-11,0.07,2020-02-11,0.17,2021-02-11,0,0.0775
2018-02-12,0.14,2019-02-12,0.01,2020-02-12,0.12,2021-02-12,0.07,0.085
2018-02-13,0.11,2019-02-13,0,2020-02-13,0.09,2021-02-13,0.11,0.0775
2018-02-14,0.08,2019-02-14,0.05,2020-02-14,0.09,2021-02-14,0.05,0.0675
2018-02-15,0.14,2019-02-15,0.07,2020-02-15,0.08,2021-02-15,0.01,0.075
2018-02-16,0.1,2019-02-16,0.07,2020-02-16,0.08,2021-02-16,0.1,0.0875
2018-02-17,0.1,2019-02-17,0.09,2020-02-17,0.19,2021-02-17,0.14,0.13
2018-02-18,0.11,2019-02-18,0.12,2020-02-18,0.11,2021-02-18,0.03,0.0925
2018-02-19,0.11,2019-02-19,0.09,2020-02-19,0.11,2021-02-19,0.01,0.08
2018-02-20,0.07,2019-02-20,0.08,2020-02-20,0.09,2021-02-20,0.1,0.085
2018-02-21,0.09,2019-02-21,0.16,2020-02-21,0.1,2021-02-21,0.17,0.13
2018-02-22,0.07,2019-02-22,0.11,2020-02-22,0.12,2021-02-22,0.14,0.11
2018-02-23,0.12,2019-02-23,0.07,2020-02-23,0.08,2021-02-23,0.2,0.1175
2018-02-24,0.09,2019-02-24,0.04,2020-02-24,0.16,2021-02-24,0.2,0.1225
2018-02-25,0.11,2019-02-25,0.02,2020-02-25,0.18,2021-02-25,0.14,0.1125
2018-02-26,0.15,2019-02-26,0,2020-02-26,0.12,2021-02-26,0.16,0.1075
2018-02-27,0.18,2019-02-27,0.05,2020-02-27,0.13,2021-02-27,0.15,0.1275
2018-02-28,0.07,2019-02-28,0.1,2020-02-28,0.1,2021-02-28,0.15,0.105
2018-03-01,0.08,2019-03-01,0.05,2020-02-29,0.13,2021-03-01,0.12,0.095
2018-03-02,0.08,2019-03-02,0.02,2020-03-01,0.23,2021-03-02,0.13,0.115
